epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,739.473,0.63865,0.46235,1.05272,0.91009,0.87954,0.94251,0.75906,0.74477,0.50477,1.11466,0.0042774,0.0014258,0.0042774,0.0014258,0.0042774,0.0014258,0.0042774,0.0014258
31,764.668,0.62946,0.45136,1.05033,0.89137,0.8801,0.94306,0.77301,0.70562,0.49891,1.08697,0.004218,0.001406,0.004218,0.001406,0.004218,0.001406,0.004218,0.001406
32,789.381,0.61817,0.44048,1.04044,0.91841,0.873,0.93826,0.76616,0.72538,0.49762,1.09023,0.0041586,0.0013862,0.0041586,0.0013862,0.0041586,0.0013862,0.0041586,0.0013862
33,813.802,0.64955,0.46207,1.05677,0.93951,0.85809,0.93758,0.75882,0.72975,0.49846,1.11793,0.0040992,0.0013664,0.0040992,0.0013664,0.0040992,0.0013664,0.0040992,0.0013664
34,838.774,0.61841,0.43944,1.04617,0.93164,0.87459,0.94452,0.77036,0.71868,0.49597,1.08381,0.0040398,0.0013466,0.0040398,0.0013466,0.0040398,0.0013466,0.0040398,0.0013466
35,863.585,0.61652,0.44523,1.04007,0.93065,0.84152,0.92328,0.76052,0.72512,0.51615,1.10796,0.0039804,0.0013268,0.0039804,0.0013268,0.0039804,0.0013268,0.0039804,0.0013268
36,887.851,0.61487,0.44414,1.04195,0.92409,0.87459,0.93584,0.77039,0.69814,0.48128,1.07081,0.003921,0.001307,0.003921,0.001307,0.003921,0.001307,0.003921,0.001307
37,912.251,0.62397,0.44985,1.04411,0.92748,0.86523,0.94727,0.76977,0.70856,0.46649,1.08122,0.0038616,0.0012872,0.0038616,0.0012872,0.0038616,0.0012872,0.0038616,0.0012872
38,936.659,0.6065,0.42978,1.04031,0.93744,0.88779,0.94658,0.76877,0.71433,0.46608,1.08647,0.0038022,0.0012674,0.0038022,0.0012674,0.0038022,0.0012674,0.0038022,0.0012674
39,961.209,0.60808,0.4331,1.03862,0.91601,0.8999,0.94909,0.77609,0.69304,0.45441,1.07485,0.0037428,0.0012476,0.0037428,0.0012476,0.0037428,0.0012476,0.0037428,0.0012476
40,985.605,0.60689,0.43539,1.03494,0.89851,0.87624,0.93362,0.76136,0.71699,0.51213,1.09745,0.0036834,0.0012278,0.0036834,0.0012278,0.0036834,0.0012278,0.0036834,0.0012278
41,1010.12,0.60589,0.42526,1.03314,0.92289,0.86905,0.94321,0.76696,0.71611,0.47005,1.08891,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208
42,1034.65,0.60104,0.42342,1.03404,0.93398,0.86373,0.94332,0.7752,0.71375,0.48582,1.0995,0.0035646,0.0011882,0.0035646,0.0011882,0.0035646,0.0011882,0.0035646,0.0011882
43,1059.59,0.58777,0.41936,1.02943,0.93552,0.87954,0.93516,0.77416,0.7024,0.47866,1.08504,0.0035052,0.0011684,0.0035052,0.0011684,0.0035052,0.0011684,0.0035052,0.0011684
44,1084.04,0.58602,0.41299,1.02548,0.94253,0.8661,0.94693,0.78593,0.70153,0.46936,1.07931,0.0034458,0.0011486,0.0034458,0.0011486,0.0034458,0.0011486,0.0034458,0.0011486
45,1108.71,0.58043,0.412,1.02597,0.93924,0.86304,0.94374,0.77934,0.68852,0.45878,1.08324,0.0033864,0.0011288,0.0033864,0.0011288,0.0033864,0.0011288,0.0033864,0.0011288
46,1134.72,0.59164,0.4142,1.02984,0.92617,0.87129,0.93855,0.78069,0.68687,0.47124,1.07431,0.003327,0.001109,0.003327,0.001109,0.003327,0.001109,0.003327,0.001109
47,1180.59,0.57257,0.40011,1.02007,0.92389,0.88449,0.93617,0.77731,0.70304,0.47526,1.09508,0.0032676,0.0010892,0.0032676,0.0010892,0.0032676,0.0010892,0.0032676,0.0010892
48,1206.83,0.58679,0.4156,1.02236,0.93555,0.88636,0.94157,0.78375,0.69304,0.46306,1.08835,0.0032082,0.0010694,0.0032082,0.0010694,0.0032082,0.0010694,0.0032082,0.0010694
49,1232.07,0.57865,0.40497,1.01947,0.95816,0.86139,0.94513,0.78334,0.69649,0.47815,1.08386,0.0031488,0.0010496,0.0031488,0.0010496,0.0031488,0.0010496,0.0031488,0.0010496
50,1256.45,0.58366,0.40631,1.02438,0.95444,0.86414,0.94022,0.78651,0.67048,0.46087,1.07414,0.0030894,0.0010298,0.0030894,0.0010298,0.0030894,0.0010298,0.0030894,0.0010298
51,1280.91,0.57455,0.39815,1.01959,0.9253,0.87898,0.94426,0.78623,0.6875,0.46255,1.07698,0.00303,0.00101,0.00303,0.00101,0.00303,0.00101,0.00303,0.00101
52,1305.75,0.57264,0.39897,1.01901,0.94145,0.90215,0.94554,0.78778,0.66663,0.45503,1.05926,0.0029706,0.0009902,0.0029706,0.0009902,0.0029706,0.0009902,0.0029706,0.0009902
53,1329.88,0.5761,0.39576,1.01736,0.93704,0.86964,0.9413,0.78672,0.67984,0.45988,1.07624,0.0029112,0.0009704,0.0029112,0.0009704,0.0029112,0.0009704,0.0029112,0.0009704
54,1354.71,0.55855,0.39208,1.01068,0.94153,0.87686,0.93591,0.79302,0.66147,0.4839,1.0574,0.0028518,0.0009506,0.0028518,0.0009506,0.0028518,0.0009506,0.0028518,0.0009506
55,1380.39,0.56164,0.39114,1.01114,0.91596,0.91254,0.94692,0.79895,0.66507,0.44263,1.05524,0.0027924,0.0009308,0.0027924,0.0009308,0.0027924,0.0009308,0.0027924,0.0009308
56,1406.14,0.56431,0.38812,1.01012,0.94783,0.86939,0.93696,0.78735,0.6917,0.46467,1.08366,0.002733,0.000911,0.002733,0.000911,0.002733,0.000911,0.002733,0.000911
57,1431.28,0.55001,0.38536,1.00886,0.9255,0.87624,0.94469,0.79259,0.67142,0.44658,1.06943,0.0026736,0.0008912,0.0026736,0.0008912,0.0026736,0.0008912,0.0026736,0.0008912
58,1457.01,0.56182,0.38629,1.00592,0.92521,0.88944,0.94331,0.78687,0.69334,0.45014,1.08497,0.0026142,0.0008714,0.0026142,0.0008714,0.0026142,0.0008714,0.0026142,0.0008714
59,1483.01,0.55606,0.38245,1.00904,0.92139,0.90099,0.94487,0.78998,0.69765,0.44611,1.08064,0.0025548,0.0008516,0.0025548,0.0008516,0.0025548,0.0008516,0.0025548,0.0008516
60,1508.57,0.55412,0.37805,1.00727,0.95328,0.86139,0.94232,0.78958,0.67628,0.45903,1.07362,0.0024954,0.0008318,0.0024954,0.0008318,0.0024954,0.0008318,0.0024954,0.0008318
